date,s07,prior,together
2024-04-08,-415.0,70.0,-345.0
2024-04-09,-3565.0,2040.0,-1525.0
2024-04-10,-245.0,-250.0,-495.0
2024-04-11,-230.0,215.0,-15.0
2024-04-12,-1090.0,-800.0,-1890.0
2024-04-15,1920.0,2100.0,4020.0
2024-04-16,280.0,-515.0,-235.0
2024-04-17,4330.0,2940.0,7270.0
2024-04-18,-1515.0,-2085.0,-3600.0
2024-04-19,-3315.0,-2545.0,-5860.0
2024-04-22,1410.0,1575.0,2985.0
2024-04-23,2380.0,1970.0,4350.0
2024-04-24,-1085.0,-2175.0,-3260.0
2024-04-25,-1140.0,-1015.0,-2155.0
2024-04-26,-3380.0,-1985.0,-5365.0
2024-04-29,-1635.0,-100.0,-1735.0
2024-04-30,-1580.0,-2210.0,-3790.0
2024-05-01,665.0,-125.0,540.0
2024-05-02,1220.0,685.0,1905.0
2024-05-03,-640.0,615.0,-25.0
2024-05-06,-1005.0,-760.0,-1765.0
2024-05-07,350.0,625.0,975.0
2024-05-08,1840.0,-470.0,1370.0
2024-05-09,-915.0,-445.0,-1360.0
2024-05-10,-1085.0,-1390.0,-2475.0
2024-05-13,-865.0,-200.0,-1065.0
2024-05-14,880.0,-745.0,135.0
2024-05-15,1505.0,-2490.0,-985.0
2024-05-16,-1375.0,-350.0,-1725.0
2024-05-17,195.0,505.0,700.0
2024-05-20,1860.0,1175.0,3035.0
2024-05-21,-1040.0,115.0,-925.0
2024-05-22,235.0,355.0,590.0
2024-05-23,890.0,1320.0,2210.0
2024-05-24,-3245.0,-525.0,-3770.0
2024-05-28,110.0,-1285.0,-1175.0
2024-05-29,845.0,345.0,1190.0
2024-05-30,1490.0,1025.0,2515.0
2024-05-31,5500.0,5390.0,10890.0
2024-06-03,-1965.0,-2535.0,-4500.0
2024-06-04,-725.0,430.0,-295.0
2024-06-05,2600.0,-2790.0,-190.0
2024-06-06,-1030.0,-55.0,-1085.0
2024-06-07,-1470.0,1320.0,-150.0
2024-06-10,1790.0,1715.0,3505.0
2024-06-11,1290.0,-950.0,340.0
2024-06-12,2255.0,-45.0,2210.0
2024-06-13,-965.0,1285.0,320.0
2024-06-14,-1350.0,50.0,-1300.0
2024-06-17,-1235.0,1345.0,110.0
2024-06-18,-1125.0,-75.0,-1200.0
2024-06-20,505.0,4225.0,4730.0
2024-06-21,-810.0,-1230.0,-2040.0
2024-06-24,-985.0,-405.0,-1390.0
2024-06-25,-2335.0,-880.0,-3215.0
2024-06-26,35.0,905.0,940.0
2024-06-27,-970.0,-1440.0,-2410.0
2024-06-28,-1140.0,-3965.0,-5105.0
2024-07-01,250.0,-290.0,-40.0
2024-07-02,2395.0,1845.0,4240.0
2024-07-03,1505.0,3050.0,4555.0
2024-07-05,2100.0,0.0,2100.0
2024-07-08,560.0,685.0,1245.0
2024-07-09,-1290.0,-685.0,-1975.0
2024-07-10,-360.0,185.0,-175.0
2024-07-11,6720.0,3780.0,10500.0
2024-07-12,-4035.0,1160.0,-2875.0
2024-07-15,-2650.0,2010.0,-640.0
2024-07-16,-2255.0,-405.0,-2660.0
2024-07-17,2590.0,3215.0,5805.0
2024-07-18,5965.0,5200.0,11165.0
2024-07-22,1430.0,-595.0,835.0
2024-07-23,-2325.0,-1805.0,-4130.0
2024-07-24,4410.0,635.0,5045.0
2024-07-26,270.0,3275.0,3545.0
2024-07-29,2490.0,2865.0,5355.0
2024-07-30,-5730.0,5215.0,-515.0
2024-07-31,-3455.0,3055.0,-400.0
2024-08-01,5490.0,7990.0,13480.0
2024-08-06,1425.0,-4100.0,-2675.0
2024-08-07,-190.0,-1245.0,-1435.0
2024-08-08,-4460.0,595.0,-3865.0
2024-08-09,570.0,950.0,1520.0
2024-08-12,-1140.0,-2940.0,-4080.0
2024-08-13,2145.0,100.0,2245.0
2024-08-14,260.0,-2275.0,-2015.0
2024-08-15,-3435.0,3555.0,120.0
2024-08-16,520.0,790.0,1310.0
2024-08-19,-1410.0,0.0,-1410.0
2024-08-20,-735.0,-800.0,-1535.0
2024-08-21,-445.0,-740.0,-1185.0
2024-08-22,3940.0,-5345.0,-1405.0
2024-08-23,-1155.0,-900.0,-2055.0
2024-08-26,-3685.0,-1085.0,-4770.0
2024-08-27,2000.0,-1405.0,595.0
2024-08-28,-5470.0,-4100.0,-9570.0
2024-08-29,1770.0,-775.0,995.0
2024-08-30,2255.0,-2670.0,-415.0
2024-09-03,4940.0,2140.0,7080.0
2024-09-04,2195.0,-160.0,2035.0
2024-09-05,-1200.0,-2970.0,-4170.0
2024-09-06,6830.0,6980.0,13810.0
2024-09-09,-1130.0,-795.0,-1925.0
2024-09-10,-725.0,10.0,-715.0
2024-09-11,3515.0,1715.0,5230.0
2024-09-12,-1260.0,-1520.0,-2780.0
2024-09-13,-2095.0,1165.0,-930.0
2024-09-16,135.0,10.0,145.0
2024-09-17,-1240.0,-130.0,-1370.0
2024-09-18,1535.0,1535.0,3070.0
2024-09-20,2395.0,-1545.0,850.0
2024-09-23,-1145.0,-920.0,-2065.0
2024-09-24,-315.0,455.0,140.0
2024-09-25,775.0,1350.0,2125.0
2024-09-26,4055.0,4105.0,8160.0
2024-09-27,2115.0,1560.0,3675.0
2024-09-30,-110.0,-515.0,-625.0
2024-10-01,5975.0,405.0,6380.0
2024-10-02,1790.0,-2860.0,-1070.0
2024-10-03,1540.0,615.0,2155.0
2024-10-04,3080.0,740.0,3820.0
2024-10-07,-830.0,-530.0,-1360.0
2024-10-08,2905.0,-625.0,2280.0
2024-10-09,-2725.0,3380.0,655.0
2024-10-10,840.0,860.0,1700.0
2024-10-11,-1990.0,300.0,-1690.0
2024-10-14,-185.0,-520.0,-705.0
2024-10-15,-4335.0,5255.0,920.0
2024-10-16,120.0,-555.0,-435.0
2024-10-17,1555.0,2555.0,4110.0
2024-10-18,-1480.0,45.0,-1435.0
2024-10-21,-1245.0,-440.0,-1685.0
2024-10-22,-1945.0,650.0,-1295.0
2024-10-23,2270.0,-2230.0,40.0
2024-10-24,-410.0,815.0,405.0
2024-10-25,2170.0,-870.0,1300.0
2024-10-28,925.0,560.0,1485.0
2024-10-29,-2945.0,-2535.0,-5480.0
