instrument,minute,horizon,stop,trades,net_total,net_mean,net_median,win,candles_mean,mean_2006-2012,n_2006-2012,mean_2013-2019,n_2013-2019,mean_2020-2026,n_2020-2026,recent_total,recent_without_best_5pct,recent_max_dd,recent_years_positive,recent_years
ES,3,30,6.0,5029,-130745.0,-25.998210379797175,-92.5,0.40405647245973353,0.09635512063414049,-34.32017543859649,1710,-28.12857142857143,1750,-14.552262587635436,1569,-22832.5,-147592.5,34142.5,4,7
ES,3,30,10.0,5028,-80465.0,-16.00338106603023,-17.5,0.4634049323786794,0.3054146059862163,-31.176900584795323,1710,-22.87142857142857,1750,8.209502551020408,1568,12872.5,-113037.5,22487.5,4,7
ES,3,60,0.0,5021,-22642.5,-4.50955984863573,-5.0,0.48914558852818163,0.6161540265627736,-18.739730046948356,1704,-18.28616352201258,1749,26.321747448979593,1568,41272.5,-122325.0,22445.0,4,7
ES,3,60,2.0,5031,-145092.5,-28.83969389783343,-80.0,0.14987080103359174,-0.013190552508356325,-36.24634716540035,1711,-28.12857142857143,1750,-21.56050955414013,1570,-33850.0,-166522.5,48450.0,1,7
ES,3,60,4.0,5028,-118427.5,-23.55359984089101,-130.0,0.2806284805091488,0.09771692863059109,-36.78759508484494,1709,-25.485714285714284,1750,-6.983747609942639,1569,-10957.5,-161730.0,38245.0,4,7
ES,3,60,6.0,5026,-110817.5,-22.048846000795862,-155.0,0.3682849184241942,0.20972752180380813,-36.30122950819672,1708,-26.08347627215552,1749,-2.0363288718929256,1569,-3195.0,-165455.0,31080.0,4,7
ES,3,60,10.0,5024,-73870.0,-14.70342356687898,-42.5,0.45203025477707004,0.38935727737347536,-30.05858230814294,1707,-23.624928530588907,1749,11.964285714285714,1568,18760.0,-144300.0,30377.5,4,7
ES,3,120,0.0,5013,11435.0,2.2810692200279274,-5.0,0.495312188310393,0.6899483406108785,-18.990893066980025,1702,-12.687356979405035,1748,42.18490083173384,1563,65935.0,-146075.0,31850.0,6,7
ES,3,120,2.0,5030,-139000.0,-27.634194831013918,-80.0,0.12326043737574553,0.03885906406071725,-35.16510812390415,1711,-22.492857142857144,1750,-25.15615041427661,1569,-39470.0,-193367.5,57845.0,2,7
ES,3,120,4.0,5025,-93037.5,-18.51492537313433,-130.0,0.23761194029850746,0.193924648189694,-34.38121708601521,1709,-21.84285714285714,1750,2.5191570881226055,1566,3945.0,-185440.0,38647.5,4,7
ES,3,120,6.0,5023,-83777.5,-16.6787776229345,-180.0,0.3215210033844316,0.2846946540775215,-35.847482435597186,1708,-22.59576901086335,1749,10.836526181353767,1566,16970.0,-190877.5,26705.0,4,7
ES,3,120,10.0,5018,-45227.5,-9.013053009166999,-105.0,0.4256675966520526,0.4884283627841491,-31.59090909090909,1705,-17.40708976558033,1749,24.987212276214834,1564,39080.0,-171280.0,38277.5,5,7
ES,4,30,0.0,5028,-61752.5,-12.281722354813047,-17.5,0.47275258552108196,0.3329744035949855,-23.084795321637426,1710,-17.57857142857143,1750,5.411352040816326,1568,8485.0,-117762.5,25745.0,5,7
ES,4,30,2.0,5034,-140170.0,-27.84465633690902,-80.0,0.19348430671434247,-0.010388663826096763,-34.20315236427321,1713,-28.586521987435752,1751,-20.079617834394906,1570,-31525.0,-143772.5,42972.5,2,7
