spine_pos,relative_to_t0,close_utc,open,high,low,close
4556200,-165,2021-01-04 11:46:00+00:00,12947.25,12949.5,12945.75,12948.75
4556201,-164,2021-01-04 11:47:00+00:00,12948.5,12948.5,12947.5,12947.5
4556202,-163,2021-01-04 11:48:00+00:00,12947.5,12948.75,12947.5,12947.5
4556203,-162,2021-01-04 11:49:00+00:00,12947.75,12948.0,12947.25,12947.5
4556204,-161,2021-01-04 11:50:00+00:00,12947.75,12947.75,12946.75,12946.75
4556205,-160,2021-01-04 11:51:00+00:00,12947.25,12948.5,12945.5,12946.5
4556206,-159,2021-01-04 11:52:00+00:00,12946.75,12947.5,12946.0,12946.75
4556207,-158,2021-01-04 11:53:00+00:00,12947.0,12948.0,12946.75,12948.0
4556208,-157,2021-01-04 11:54:00+00:00,12948.0,12948.0,12946.75,12947.5
4556209,-156,2021-01-04 11:55:00+00:00,12947.0,12947.0,12945.75,12946.0
4556210,-155,2021-01-04 11:56:00+00:00,12946.25,12946.25,12945.5,12946.0
4556211,-154,2021-01-04 11:57:00+00:00,12945.75,12946.25,12944.75,12944.75
4556212,-153,2021-01-04 11:58:00+00:00,12944.75,12945.25,12942.0,12943.0
4556213,-152,2021-01-04 11:59:00+00:00,12943.25,12943.5,12940.25,12940.75
4556214,-151,2021-01-04 12:00:00+00:00,12941.0,12941.5,12940.25,12940.5
4556215,-150,2021-01-04 12:01:00+00:00,12940.25,12941.25,12939.25,12939.5
4556216,-149,2021-01-04 12:02:00+00:00,12939.75,12941.5,12939.5,12941.5
4556217,-148,2021-01-04 12:03:00+00:00,12941.75,12941.75,12937.75,12938.5
4556218,-147,2021-01-04 12:04:00+00:00,12938.25,12940.25,12938.0,12938.5
4556219,-146,2021-01-04 12:05:00+00:00,12938.5,12938.5,12936.25,12937.75
4556220,-145,2021-01-04 12:06:00+00:00,12937.75,12937.75,12934.5,12934.75
4556221,-144,2021-01-04 12:07:00+00:00,12935.0,12936.75,12934.75,12935.75
4556222,-143,2021-01-04 12:08:00+00:00,12935.75,12936.25,12935.0,12935.75
4556223,-142,2021-01-04 12:09:00+00:00,12936.0,12937.25,12935.0,12936.25
4556224,-141,2021-01-04 12:10:00+00:00,12936.0,12936.25,12934.25,12936.0
4556225,-140,2021-01-04 12:11:00+00:00,12936.25,12937.25,12935.75,12937.25
4556226,-139,2021-01-04 12:12:00+00:00,12937.5,12937.75,12936.75,12937.5
4556227,-138,2021-01-04 12:13:00+00:00,12937.25,12937.75,12936.75,12937.25
4556228,-137,2021-01-04 12:14:00+00:00,12937.25,12937.75,12936.5,12937.25
4556229,-136,2021-01-04 12:15:00+00:00,12937.5,12938.0,12937.0,12937.5
4556230,-135,2021-01-04 12:16:00+00:00,12937.5,12939.75,12936.5,12938.75
4556231,-134,2021-01-04 12:17:00+00:00,12939.0,12939.0,12937.25,12938.0
4556232,-133,2021-01-04 12:18:00+00:00,12937.75,12938.0,12936.5,12936.75
4556233,-132,2021-01-04 12:19:00+00:00,12937.25,12938.0,12936.75,12937.75
4556234,-131,2021-01-04 12:20:00+00:00,12937.25,12938.0,12937.0,12938.0
4556235,-130,2021-01-04 12:21:00+00:00,12938.0,12939.0,12937.5,12938.75
4556236,-129,2021-01-04 12:22:00+00:00,12938.5,12938.75,12938.0,12938.75
4556237,-128,2021-01-04 12:23:00+00:00,12939.0,12939.75,12938.25,12938.25
4556238,-127,2021-01-04 12:24:00+00:00,12938.75,12939.5,12938.25,12938.5
4556239,-126,2021-01-04 12:25:00+00:00,12938.0,12939.5,12937.25,12939.25
4556240,-125,2021-01-04 12:26:00+00:00,12939.25,12939.25,12938.25,12938.25
4556241,-124,2021-01-04 12:27:00+00:00,12938.0,12939.0,12937.5,12938.5
4556242,-123,2021-01-04 12:28:00+00:00,12938.0,12939.0,12937.25,12938.0
4556243,-122,2021-01-04 12:29:00+00:00,12938.0,12939.5,12937.5,12939.5
4556244,-121,2021-01-04 12:30:00+00:00,12939.0,12939.75,12938.75,12939.25
4556245,-120,2021-01-04 12:31:00+00:00,12939.25,12939.25,12937.75,12939.25
4556246,-119,2021-01-04 12:32:00+00:00,12939.0,12940.0,12938.5,12939.25
4556247,-118,2021-01-04 12:33:00+00:00,12939.0,12939.5,12938.25,12938.75
4556248,-117,2021-01-04 12:34:00+00:00,12938.75,12940.0,12938.25,12939.75
4556249,-116,2021-01-04 12:35:00+00:00,12940.0,12941.25,12940.0,12940.5
4556250,-115,2021-01-04 12:36:00+00:00,12940.5,12941.5,12940.25,12941.25
4556251,-114,2021-01-04 12:37:00+00:00,12941.5,12944.5,12941.5,12943.0
4556252,-113,2021-01-04 12:38:00+00:00,12943.75,12943.75,12942.0,12942.5
4556253,-112,2021-01-04 12:39:00+00:00,12943.0,12943.5,12942.25,12942.75
4556254,-111,2021-01-04 12:40:00+00:00,12942.5,12944.0,12941.75,12943.75
4556255,-110,2021-01-04 12:41:00+00:00,12943.25,12944.75,12943.25,12944.75
4556256,-109,2021-01-04 12:42:00+00:00,12944.75,12945.5,12944.25,12945.0
4556257,-108,2021-01-04 12:43:00+00:00,12944.75,12945.75,12944.75,12945.0
4556258,-107,2021-01-04 12:44:00+00:00,12945.0,12945.0,12943.0,12943.0
4556259,-106,2021-01-04 12:45:00+00:00,12943.25,12944.75,12943.25,12944.25
4556260,-105,2021-01-04 12:46:00+00:00,12944.5,12945.0,12942.25,12942.5
4556261,-104,2021-01-04 12:47:00+00:00,12942.5,12942.5,12938.5,12939.0
4556262,-103,2021-01-04 12:48:00+00:00,12938.75,12939.25,12936.0,12939.0
4556263,-102,2021-01-04 12:49:00+00:00,12939.0,12940.5,12939.0,12939.75
4556264,-101,2021-01-04 12:50:00+00:00,12940.0,12942.75,12940.0,12942.5
4556265,-100,2021-01-04 12:51:00+00:00,12942.75,12947.25,12942.75,12946.0
4556266,-99,2021-01-04 12:52:00+00:00,12946.25,12947.25,12945.25,12947.0
4556267,-98,2021-01-04 12:53:00+00:00,12947.25,12948.75,12946.75,12946.75
4556268,-97,2021-01-04 12:54:00+00:00,12947.25,12948.75,12946.75,12948.5
4556269,-96,2021-01-04 12:55:00+00:00,12948.5,12948.75,12948.0,12948.25
4556270,-95,2021-01-04 12:56:00+00:00,12948.0,12949.75,12948.0,12949.75
4556271,-94,2021-01-04 12:57:00+00:00,12949.75,12952.0,12949.5,12951.0
4556272,-93,2021-01-04 12:58:00+00:00,12950.75,12953.0,12950.0,12951.25
4556273,-92,2021-01-04 12:59:00+00:00,12951.25,12952.75,12950.75,12952.25
4556274,-91,2021-01-04 13:00:00+00:00,12951.75,12952.5,12950.25,12952.5
4556275,-90,2021-01-04 13:01:00+00:00,12952.5,12953.75,12950.0,12951.25
4556276,-89,2021-01-04 13:02:00+00:00,12951.0,12952.25,12947.75,12948.75
4556277,-88,2021-01-04 13:03:00+00:00,12948.25,12951.25,12948.25,12949.5
4556278,-87,2021-01-04 13:04:00+00:00,12949.5,12950.25,12948.25,12948.5
4556279,-86,2021-01-04 13:05:00+00:00,12948.75,12949.0,12947.75,12948.0
4556280,-85,2021-01-04 13:06:00+00:00,12948.5,12949.75,12946.0,12946.5
4556281,-84,2021-01-04 13:07:00+00:00,12946.5,12947.5,12946.25,12946.75
4556282,-83,2021-01-04 13:08:00+00:00,12947.0,12947.5,12944.25,12946.0
4556283,-82,2021-01-04 13:09:00+00:00,12946.0,12948.5,12946.0,12947.5
4556284,-81,2021-01-04 13:10:00+00:00,12947.5,12949.25,12947.5,12948.75
4556285,-80,2021-01-04 13:11:00+00:00,12948.25,12949.5,12947.75,12948.5
4556286,-79,2021-01-04 13:12:00+00:00,12948.25,12949.5,12948.25,12948.5
4556287,-78,2021-01-04 13:13:00+00:00,12948.5,12949.0,12947.5,12949.0
4556288,-77,2021-01-04 13:14:00+00:00,12949.0,12949.75,12948.5,12949.5
4556289,-76,2021-01-04 13:15:00+00:00,12950.0,12950.75,12947.5,12947.75
4556290,-75,2021-01-04 13:16:00+00:00,12948.25,12948.75,12947.5,12948.25
4556291,-74,2021-01-04 13:17:00+00:00,12948.25,12949.5,12945.25,12948.75
4556292,-73,2021-01-04 13:18:00+00:00,12948.75,12949.75,12947.5,12948.0
4556293,-72,2021-01-04 13:19:00+00:00,12948.25,12948.75,12947.5,12947.75
4556294,-71,2021-01-04 13:20:00+00:00,12947.75,12949.25,12946.5,12949.0
4556295,-70,2021-01-04 13:21:00+00:00,12949.25,12950.0,12947.25,12948.25
4556296,-69,2021-01-04 13:22:00+00:00,12948.25,12950.5,12947.75,12948.0
4556297,-68,2021-01-04 13:23:00+00:00,12948.25,12950.75,12947.75,12949.5
4556298,-67,2021-01-04 13:24:00+00:00,12949.5,12949.5,12947.25,12947.5
4556299,-66,2021-01-04 13:25:00+00:00,12947.25,12947.75,12945.75,12946.75
4556300,-65,2021-01-04 13:26:00+00:00,12946.75,12948.0,12944.5,12944.75
4556301,-64,2021-01-04 13:27:00+00:00,12945.0,12945.25,12942.5,12943.5
4556302,-63,2021-01-04 13:28:00+00:00,12943.75,12944.75,12943.25,12943.75
4556303,-62,2021-01-04 13:29:00+00:00,12943.5,12945.0,12941.25,12942.0
4556304,-61,2021-01-04 13:30:00+00:00,12942.25,12944.75,12942.25,12942.75
4556305,-60,2021-01-04 13:31:00+00:00,12943.0,12945.0,12942.25,12943.0
4556306,-59,2021-01-04 13:32:00+00:00,12942.75,12945.0,12942.25,12944.5
4556307,-58,2021-01-04 13:33:00+00:00,12944.25,12945.0,12943.5,12945.0
4556308,-57,2021-01-04 13:34:00+00:00,12945.0,12945.25,12944.5,12944.75
4556309,-56,2021-01-04 13:35:00+00:00,12944.25,12945.5,12944.0,12945.5
4556310,-55,2021-01-04 13:36:00+00:00,12945.25,12946.25,12945.0,12945.5
4556311,-54,2021-01-04 13:37:00+00:00,12945.25,12949.25,12944.5,12948.5
4556312,-53,2021-01-04 13:38:00+00:00,12948.25,12950.0,12945.5,12945.75
4556313,-52,2021-01-04 13:39:00+00:00,12945.25,12946.75,12942.5,12944.75
4556314,-51,2021-01-04 13:40:00+00:00,12945.25,12946.0,12945.0,12945.5
4556315,-50,2021-01-04 13:41:00+00:00,12945.5,12948.0,12945.5,12947.75
4556316,-49,2021-01-04 13:42:00+00:00,12948.0,12949.75,12947.75,12949.25
4556317,-48,2021-01-04 13:43:00+00:00,12949.5,12952.0,12949.25,12951.75
4556318,-47,2021-01-04 13:44:00+00:00,12951.5,12952.5,12950.5,12952.5
4556319,-46,2021-01-04 13:45:00+00:00,12952.5,12952.5,12949.75,12951.0
4556320,-45,2021-01-04 13:46:00+00:00,12951.25,12951.25,12947.0,12948.5
4556321,-44,2021-01-04 13:47:00+00:00,12948.5,12948.75,12938.0,12945.5
