day,net
2024-01-30 00:00:00-05:00,-1218.824999999997
2024-01-31 00:00:00-05:00,-2607.5249999999505
2024-02-01 00:00:00-05:00,-1159.300000000003
2024-02-02 00:00:00-05:00,-4204.875000000029
2024-02-05 00:00:00-05:00,-1947.1500000000378
2024-02-06 00:00:00-05:00,550.5500000000029
2024-02-07 00:00:00-05:00,-1241.3999999999942
2024-02-08 00:00:00-05:00,-1884.9499999999534
2024-02-09 00:00:00-05:00,-1201.3999999999942
2024-02-12 00:00:00-05:00,2760.0
2024-02-13 00:00:00-05:00,3820.0
2024-02-14 00:00:00-05:00,-557.7500000000146
2024-02-15 00:00:00-05:00,405.0
2024-02-16 00:00:00-05:00,-782.7999999999884
2024-02-19 00:00:00-05:00,30.0
2024-02-20 00:00:00-05:00,-2745.550000000003
2024-02-21 00:00:00-05:00,-830.0
2024-02-22 00:00:00-05:00,-749.0000000000146
2024-02-23 00:00:00-05:00,-502.79999999998836
2024-02-26 00:00:00-05:00,-2137.0500000000175
2024-02-27 00:00:00-05:00,-1980.4499999999825
2024-02-28 00:00:00-05:00,-1498.000000000029
2024-02-29 00:00:00-05:00,-2057.2000000000116
2024-03-01 00:00:00-05:00,1960.0
2024-03-04 00:00:00-05:00,330.0
2024-03-05 00:00:00-05:00,3745.0
2024-03-06 00:00:00-05:00,-2492.350000000006
2024-03-07 00:00:00-05:00,1110.4000000000087
2024-03-08 00:00:00-05:00,1091.7749999999796
2024-03-11 00:00:00-04:00,-305.0
2024-03-12 00:00:00-04:00,3970.0
2024-03-13 00:00:00-04:00,68.02499999997963
2024-03-14 00:00:00-04:00,176.47499999999127
2024-03-15 00:00:00-04:00,1480.0
2024-03-18 00:00:00-04:00,-1392.0249999999942
2024-03-19 00:00:00-04:00,40.0
2024-03-20 00:00:00-04:00,-2094.524999999994
2024-03-21 00:00:00-04:00,1850.0
2024-03-22 00:00:00-04:00,-1266.2999999999738
2024-03-25 00:00:00-04:00,915.0
2024-03-26 00:00:00-04:00,1025.0
2024-03-27 00:00:00-04:00,3345.0
2024-03-28 00:00:00-04:00,-2014.300000000003
2024-04-01 00:00:00-04:00,-1179.0000000000146
2024-04-02 00:00:00-04:00,-419.59999999999127
2024-04-03 00:00:00-04:00,2786.175000000003
2024-04-04 00:00:00-04:00,9325.0
2024-04-05 00:00:00-04:00,1705.500000000029
2024-04-08 00:00:00-04:00,-965.0
2024-04-09 00:00:00-04:00,-2556.7499999999563
2024-04-10 00:00:00-04:00,-1045.0
2024-04-11 00:00:00-04:00,1565.0
2024-04-12 00:00:00-04:00,-2820.0
2024-04-15 00:00:00-04:00,3115.0
2024-04-16 00:00:00-04:00,-1349.1500000000087
2024-04-17 00:00:00-04:00,2795.8000000000175
2024-04-18 00:00:00-04:00,-2146.399999999994
2024-04-19 00:00:00-04:00,-412.20000000001164
2024-04-22 00:00:00-04:00,1300.0
2024-04-23 00:00:00-04:00,2970.0
2024-04-24 00:00:00-04:00,-2634.7750000000087
2024-04-25 00:00:00-04:00,-105.0
2024-04-26 00:00:00-04:00,-2619.800000000032
2024-04-29 00:00:00-04:00,-2109.250000000029
2024-04-30 00:00:00-04:00,-2560.3250000000116
2024-05-01 00:00:00-04:00,3575.0
2024-05-02 00:00:00-04:00,2215.0
2024-05-03 00:00:00-04:00,-3058.324999999968
2024-05-06 00:00:00-04:00,-377.6000000000204
2024-05-07 00:00:00-04:00,-313.8249999999971
2024-05-08 00:00:00-04:00,1165.0
2024-05-09 00:00:00-04:00,-865.0
2024-05-10 00:00:00-04:00,-430.99999999998545
2024-05-13 00:00:00-04:00,-1058.6000000000058
2024-05-14 00:00:00-04:00,2685.0
2024-05-15 00:00:00-04:00,2070.0
2024-05-16 00:00:00-04:00,-765.4000000000087
2024-05-17 00:00:00-04:00,-65.0
2024-05-20 00:00:00-04:00,1101.2249999999767
2024-05-21 00:00:00-04:00,-460.0
2024-05-22 00:00:00-04:00,270.0
2024-05-23 00:00:00-04:00,3050.0
2024-05-24 00:00:00-04:00,-2190.0250000000233
2024-05-27 00:00:00-04:00,600.0
2024-05-28 00:00:00-04:00,-2045.4000000000087
2024-05-29 00:00:00-04:00,365.0
2024-05-30 00:00:00-04:00,715.4000000000087
2024-05-31 00:00:00-04:00,7045.0
2024-06-03 00:00:00-04:00,-890.8000000000175
2024-06-04 00:00:00-04:00,-1816.1000000000058
2024-06-05 00:00:00-04:00,3205.0
2024-06-06 00:00:00-04:00,-1772.9499999999825
2024-06-07 00:00:00-04:00,180.0
2024-06-10 00:00:00-04:00,888.7999999999738
2024-06-11 00:00:00-04:00,28.000000000029104
2024-06-12 00:00:00-04:00,1591.175000000003
2024-06-13 00:00:00-04:00,-2766.324999999997
2024-06-14 00:00:00-04:00,-1394.5999999999913
2024-06-17 00:00:00-04:00,-265.40000000000873
2024-06-18 00:00:00-04:00,-2173.6499999999796
2024-06-19 00:00:00-04:00,-530.199999999968
2024-06-20 00:00:00-04:00,-1266.5750000000116
2024-06-21 00:00:00-04:00,-2925.8000000000175
2024-06-24 00:00:00-04:00,-1951.3999999999942
2024-06-25 00:00:00-04:00,-117.39999999997963
2024-06-26 00:00:00-04:00,-330.0
2024-06-27 00:00:00-04:00,-1839.5500000000175
2024-06-28 00:00:00-04:00,-756.2000000000262
2024-07-01 00:00:00-04:00,525.0
2024-07-02 00:00:00-04:00,3565.0
2024-07-03 00:00:00-04:00,1505.0
2024-07-04 00:00:00-04:00,95.0
2024-07-05 00:00:00-04:00,2190.0
2024-07-08 00:00:00-04:00,-1483.824999999997
2024-07-09 00:00:00-04:00,-1187.2000000000116
2024-07-10 00:00:00-04:00,-352.79999999998836
2024-07-11 00:00:00-04:00,6025.0
2024-07-12 00:00:00-04:00,-2832.3749999999563
2024-07-15 00:00:00-04:00,-2071.800000000003
2024-07-16 00:00:00-04:00,-2649.499999999971
2024-07-17 00:00:00-04:00,2020.0
2024-07-18 00:00:00-04:00,3876.924999999974
2024-07-19 00:00:00-04:00,-1065.0
2024-07-22 00:00:00-04:00,-1480.9999999999854
2024-07-23 00:00:00-04:00,-1580.9999999999854
2024-07-24 00:00:00-04:00,3018.2250000000204
2024-07-25 00:00:00-04:00,3685.0
2024-07-26 00:00:00-04:00,1075.0
2024-07-29 00:00:00-04:00,-1280.0
2024-07-30 00:00:00-04:00,-1051.3999999999942
2024-07-31 00:00:00-04:00,-3080.074999999997
2024-08-01 00:00:00-04:00,-3282.6000000000204
2024-08-02 00:00:00-04:00,-3080.0
2024-08-05 00:00:00-04:00,-13321.624999999985
2024-08-06 00:00:00-04:00,-552.300000000032
2024-08-07 00:00:00-04:00,-2768.6499999999796
2024-08-08 00:00:00-04:00,-6295.674999999974
2024-08-09 00:00:00-04:00,-869.2500000000291
2024-08-12 00:00:00-04:00,-2954.800000000032
2024-08-13 00:00:00-04:00,2050.0
2024-08-14 00:00:00-04:00,605.0
2024-08-15 00:00:00-04:00,-2089.800000000032
2024-08-16 00:00:00-04:00,-286.25
2024-08-19 00:00:00-04:00,144.80000000003201
2024-08-20 00:00:00-04:00,-719.4000000000233
2024-08-21 00:00:00-04:00,-1462.3999999999796
2024-08-22 00:00:00-04:00,5960.0
2024-08-23 00:00:00-04:00,-600.199999999968
2024-08-26 00:00:00-04:00,-1497.2000000000116
2024-08-27 00:00:00-04:00,1630.0
2024-08-28 00:00:00-04:00,-2658.000000000029
2024-08-29 00:00:00-04:00,5130.0
2024-08-30 00:00:00-04:00,3465.0
2024-09-02 00:00:00-04:00,-510.0
2024-09-03 00:00:00-04:00,7730.0
2024-09-04 00:00:00-04:00,3665.0
2024-09-05 00:00:00-04:00,-550.0
2024-09-06 00:00:00-04:00,6725.0
2024-09-09 00:00:00-04:00,-732.2000000000116
2024-09-10 00:00:00-04:00,524.800000000032
2024-09-11 00:00:00-04:00,7560.0
2024-09-12 00:00:00-04:00,-3551.099999999933
2024-09-13 00:00:00-04:00,-1440.9999999999854
2024-09-16 00:00:00-04:00,480.0
2024-09-17 00:00:00-04:00,-3158.6499999999796
2024-09-18 00:00:00-04:00,554.6749999999884
2024-09-19 00:00:00-04:00,2285.0
2024-09-20 00:00:00-04:00,1398.8500000000204
2024-09-23 00:00:00-04:00,-861.8000000000029
2024-09-24 00:00:00-04:00,-1342.7999999999884
2024-09-25 00:00:00-04:00,900.0
2024-09-26 00:00:00-04:00,5705.0
2024-09-27 00:00:00-04:00,1071.374999999971
2024-09-30 00:00:00-04:00,-837.3999999999796
2024-10-01 00:00:00-04:00,7855.0
2024-10-02 00:00:00-04:00,-1666.2000000000262
2024-10-03 00:00:00-04:00,1190.0
2024-10-04 00:00:00-04:00,1893.949999999968
2024-10-07 00:00:00-04:00,2150.0
2024-10-08 00:00:00-04:00,4960.0
2024-10-09 00:00:00-04:00,-2317.7249999999913
2024-10-10 00:00:00-04:00,-203.6250000000291
2024-10-11 00:00:00-04:00,-593.0000000000291
2024-10-14 00:00:00-04:00,420.0
2024-10-15 00:00:00-04:00,579.5999999999913
2024-10-16 00:00:00-04:00,600.0
2024-10-17 00:00:00-04:00,3585.0
2024-10-18 00:00:00-04:00,-1163.6000000000058
2024-10-21 00:00:00-04:00,-1917.149999999965
2024-10-22 00:00:00-04:00,-1257.7999999999884
2024-10-23 00:00:00-04:00,1720.0
2024-10-24 00:00:00-04:00,250.0
2024-10-25 00:00:00-04:00,2420.0
2024-10-28 00:00:00-04:00,835.0
2024-10-29 00:00:00-04:00,-325.80000000001746
2024-10-30 00:00:00-04:00,1005.0
2024-10-31 00:00:00-04:00,3525.0
2024-11-01 00:00:00-04:00,3625.0
2024-11-04 00:00:00-05:00,-3291.299999999974
2024-11-05 00:00:00-05:00,1695.550000000003
2024-11-06 00:00:00-05:00,2540.0
2024-11-07 00:00:00-05:00,3655.0
2024-11-08 00:00:00-05:00,-869.5999999999913
2024-11-11 00:00:00-05:00,1975.0
2024-11-12 00:00:00-05:00,-558.0000000000291
2024-11-13 00:00:00-05:00,-697.0249999999942
2024-11-14 00:00:00-05:00,2260.0
2024-11-15 00:00:00-05:00,2800.0
2024-11-18 00:00:00-05:00,-1407.2000000000116
2024-11-19 00:00:00-05:00,3560.0
2024-11-20 00:00:00-05:00,2220.6500000000233
2024-11-21 00:00:00-05:00,1445.0
2024-11-22 00:00:00-05:00,-495.0
2024-11-25 00:00:00-05:00,-2305.4000000000087
2024-11-26 00:00:00-05:00,-300.0
2024-11-27 00:00:00-05:00,2985.0
2024-11-28 00:00:00-05:00,-15.0
2024-11-29 00:00:00-05:00,-1560.5999999999767
2024-12-02 00:00:00-05:00,1155.0
2024-12-03 00:00:00-05:00,-1470.0
2024-12-04 00:00:00-05:00,-2063.9749999999913
2024-12-05 00:00:00-05:00,-378.7999999999738
2024-12-06 00:00:00-05:00,2130.0
2024-12-09 00:00:00-05:00,-1884.9499999999534
2024-12-10 00:00:00-05:00,-1920.425000000032
2024-12-11 00:00:00-05:00,3445.0
2024-12-12 00:00:00-05:00,-10.0
2024-12-13 00:00:00-05:00,-545.8000000000175
2024-12-16 00:00:00-05:00,2275.0
2024-12-17 00:00:00-05:00,360.0
2024-12-18 00:00:00-05:00,13305.0
2024-12-19 00:00:00-05:00,-1282.300000000032
2024-12-20 00:00:00-05:00,10955.0
2024-12-23 00:00:00-05:00,-4127.400000000052
2024-12-24 00:00:00-05:00,2850.0
2024-12-26 00:00:00-05:00,-1271.600000000035
2024-12-27 00:00:00-05:00,3755.0
2024-12-30 00:00:00-05:00,905.0
2024-12-31 00:00:00-05:00,914.3499999999767
2025-01-02 00:00:00-05:00,2960.0
2025-01-03 00:00:00-05:00,2120.0
2025-01-06 00:00:00-05:00,3470.0
2025-01-07 00:00:00-05:00,8470.0
2025-01-08 00:00:00-05:00,-2232.450000000026
2025-01-10 00:00:00-05:00,2656.7749999999796
2025-01-13 00:00:00-05:00,90.0
2025-01-14 00:00:00-05:00,819.0499999999884
2025-01-15 00:00:00-05:00,-596.2000000000262
2025-01-16 00:00:00-05:00,-721.050000000032
2025-01-17 00:00:00-05:00,-1340.3749999999854
2025-01-20 00:00:00-05:00,-385.0
2025-01-21 00:00:00-05:00,192.14999999996508
2025-01-22 00:00:00-05:00,1940.0
2025-01-23 00:00:00-05:00,-2151.299999999974
2025-01-24 00:00:00-05:00,1175.0
2025-01-27 00:00:00-05:00,-2714.725000000035
2025-01-28 00:00:00-05:00,-3554.4000000000233
2025-01-29 00:00:00-05:00,-447.3999999999796
2025-01-30 00:00:00-05:00,-1500.0
2025-01-31 00:00:00-05:00,5655.0
