label,epoch,hour,n,unknown,mean_bp,sd_bp,m,t,mean_usd,years_pos
ES ET,2006-2012,2,1764,782,1.5876405187464606,19.771513619809028,0.08029939180558274,3.372574455834475,9.488378684807257,6/7
ES ET,2006-2012,3,1766,787,-0.33505826954169265,27.303984502520652,-0.012271405644504402,-0.5156911306245503,-2.116364665911665,2/7
ES ET,2006-2012,4,1767,786,-0.09546472381037711,23.722572657735746,-0.004024214624093345,-0.1691606751084153,-0.09903791737408037,4/7
ES ET,2006-2012,5,1769,784,0.3361796995258794,21.34162472637958,0.01575230114089394,0.6625336214049062,2.2046353872244207,4/7
ES ET,2006-2012,6,1778,775,1.3294021632456285,22.642974163462075,0.05871146403509234,2.475647394977307,6.735095613048369,4/7
ES ET,2006-2012,7,1779,774,-1.2175635706631973,24.055437788014395,-0.05061489969098993,-2.1348450289955103,-5.71247892074199,2/7
ES ET,2006-2012,8,1781,772,-0.06686988685258136,35.096955695210305,-0.0019052902318165196,-0.08040685962614229,0.1403705783267827,2/7
ES ET,2006-2012,9,1781,772,-1.0861970139830848,41.84020059091379,-0.025960607230429204,-1.0955868384400316,-7.537900056148231,1/7
ES ET,2006-2012,10,1787,766,0.3757880511910396,46.97703636071753,0.007999398861722911,0.3381579703336071,1.217123670956911,4/7
ES ET,2006-2012,11,1748,805,-0.3653224495018129,36.5822665788502,-0.009986326263146902,-0.41751921271369385,-1.616132723112128,4/7
ES ET,2006-2012,12,1749,804,-0.2360931435881179,34.02561432029814,-0.006938688641024048,-0.2901832260828082,-1.2221269296740995,4/7
ES ET,2006-2012,13,1733,820,-0.3090685138528511,37.346339845284476,-0.008275737733155009,-0.3445133061341237,-2.5173110213502596,3/7
ES ET,2006-2012,14,1730,823,1.2009218640277477,42.68729360922661,0.028133005456409996,1.1701436548979713,5.368497109826589,5/7
ES ET,2006-2012,15,1723,830,1.1552445004873841,65.91256689302972,0.01752692324002863,0.7275256730351014,4.606790481717934,6/7
ES ET,2006-2012,16,1377,1176,-1.069128954122057,22.887168127154204,-0.04671302924775573,-1.7334247831295757,-6.735657225853304,3/7
ES ET,2006-2012,19,1673,880,0.3839628989374733,15.282747849677648,0.025123943855788478,1.0276276583936041,2.1817095038852363,4/7
ES ET,2006-2012,20,1662,891,0.0030151356993474467,18.00791631534328,0.00016743390220991095,0.00682588408153505,-1.1206377858002408,3/7
ES ET,2006-2012,21,1658,895,-0.26155212422509505,15.325116920157857,-0.01706689257822647,-0.6949390529642184,-1.0253317249698433,4/7
ES ET,2006-2012,22,1655,898,-0.5964060998411276,16.00284481879634,-0.037268754811682694,-1.5161559751648404,-3.2326283987915407,2/7
ES ET,2006-2012,23,1654,899,0.24544401275526592,13.702789085513043,0.01791197479750717,0.7284692466098784,1.1109431680773882,4/7
ES ET,2013-2019,0,1787,769,0.34546937757188184,8.529209939071837,0.04050426476071433,1.7122336563160419,3.4695019585898152,5/7
ES ET,2013-2019,1,1796,767,0.3407107125709852,8.474020029399167,0.04020650309875921,1.7039210524579003,3.932349665924276,6/7
ES ET,2013-2019,2,1796,753,1.0734617011714396,11.264460965852951,0.09529632216095628,4.038585727115244,10.739142538975502,6/7
ES ET,2013-2019,3,1796,760,0.26390014506968257,16.602776561691673,0.015894940469089437,0.6736155001175013,2.324610244988864,4/7
ES ET,2013-2019,4,1796,760,-0.004036669710517348,14.04140870691079,-0.0002874832429406183,-0.01218332140629523,-0.2992761692650334,4/7
ES ET,2013-2019,5,1796,760,0.12648574738650065,12.203974088826902,0.010364308090616324,0.4392315020876783,2.435968819599109,4/7
ES ET,2013-2019,6,1796,760,0.14303958290070276,11.81864839656959,0.012102871504513205,0.5129104986095965,2.01141425389755,5/7
ES ET,2013-2019,7,1799,757,0.6299920465505603,13.570588936707349,0.04642333869877103,1.9690282756521096,6.753752084491384,6/7
ES ET,2013-2019,8,1799,757,0.025341444649849477,16.187023057606133,0.0015655407766866536,0.06640181732693844,0.24319066147859922,4/7
ES ET,2013-2019,9,1797,759,0.6918510939403844,24.845694132579165,0.02784591528208454,1.1804172191309992,6.976905954368392,5/7
ES ET,2013-2019,10,1797,759,-0.16338591222095106,26.266042071007284,-0.006220423761572286,-0.26369021251657976,-2.260712298274903,3/7
ES ET,2013-2019,11,1789,767,0.5963105433623698,22.92184124789761,0.026014949537139096,1.100343185266392,5.3242034656232535,4/7
ES ET,2013-2019,12,1790,766,0.46599478151329615,18.980944290861583,0.024550663780076018,1.0386990973115275,4.273743016759776,5/7
ES ET,2013-2019,13,1739,817,-0.2118366210550948,19.423535562125977,-0.010906182367135867,-0.4548021891350863,-1.8257619321449108,4/7
ES ET,2013-2019,14,1739,817,0.4619050804715793,24.965514412260664,0.018501724933203696,0.7715463320833925,3.1914893617021276,4/7
ES ET,2013-2019,15,1739,817,0.047934275413864115,27.984803766537073,0.0017128680198637552,0.07142885557103498,-0.20126509488211616,3/7
ES ET,2013-2019,16,1738,818,0.8946850805480929,13.217208504164304,0.06769092583098824,2.821989153499768,10.284810126582279,7/7
ES ET,2013-2019,19,1794,762,0.46661935271531413,9.453602696934386,0.04935889180816002,2.0906273124950285,4.738015607580825,5/7
ES ET,2013-2019,20,1787,769,-0.12840661767723474,13.4676572504805,-0.009534443540479429,-0.4030487954959252,-1.3080581980973698,3/7
ES ET,2013-2019,21,1787,769,0.3025077380757258,12.556741858380803,0.024091260415122866,1.0184079910976829,4.064073866815892,5/7
ES ET,2013-2019,22,1787,769,-0.08083907688814476,11.553126109354444,-0.0069971604328537725,-0.29579042262718663,0.4336877448237269,4/7
ES ET,2013-2019,23,1788,768,0.12146652913131739,8.433364391350105,0.01440309270353628,0.6090311601345765,1.6079418344519016,3/7
ES ET,2020-2026,0,1623,693,0.7055227071738793,16.113970115063424,0.04378329500030244,1.763874582536563,6.461799137399876,3/7
ES ET,2020-2026,1,1620,702,0.36665495780758384,14.45893099183408,0.02535837248373744,1.0206548041031478,7.885802469135802,6/7
ES ET,2020-2026,2,1621,688,0.6085177809347283,18.134061111787965,0.03355661907079182,1.351044660213819,8.297347316471313,4/7
ES ET,2020-2026,3,1621,695,0.17511491853609218,22.351635826409147,0.007834545976683661,0.31543170319596664,5.983960518198643,5/7
ES ET,2020-2026,4,1621,695,0.3031900065622008,21.04030995903544,0.01440995912857265,0.5801686485007999,7.865515114127082,5/7
ES ET,2020-2026,5,1615,701,0.24113304456759382,17.259431601527773,0.013971088395880266,0.5614570038830069,3.653250773993808,3/7
ES ET,2020-2026,6,1616,700,0.5319851408276574,21.518960926815247,0.024721692773034366,0.9937997500502342,10.898824257425742,5/7
ES ET,2020-2026,7,1621,695,-0.7973063571016434,20.855406604170888,-0.03823019959448739,-1.539210696765284,-11.805983960518198,2/7
ES ET,2020-2026,8,1621,695,0.3403408709991663,34.60183981342445,0.009835918345218296,0.39601024556651654,1.4882788402220852,4/7
ES ET,2020-2026,9,1618,698,0.5900934326806897,36.786021228907124,0.016041241019482247,0.6452488256124174,17.861557478368358,4/7
ES ET,2020-2026,10,1618,698,-0.5246626557652984,40.696633223156454,-0.012892040795816111,-0.5185742283371174,-18.525957972805934,3/7
ES ET,2020-2026,11,1618,698,1.4379142947092853,32.87578598677468,0.04373779216374421,1.7593251665666227,26.73053152039555,6/7
ES ET,2020-2026,12,1618,698,0.38652733931074496,30.14938597757876,0.012820405019133535,0.515692724298862,5.616501854140915,5/7
ES ET,2020-2026,13,1565,751,-0.24392219042649257,34.71567289974306,-0.007026284385468383,-0.27796037864320017,4.472843450479234,2/7
ES ET,2020-2026,14,1564,752,1.2063497081042587,31.805374673720696,0.03792911482665254,1.4999993877992843,23.10581841432225,5/7
ES ET,2020-2026,15,1564,752,-0.31411814297131113,44.46397949282267,-0.007064553073168265,-0.27938498784531696,-10.118286445012787,3/7
ES ET,2020-2026,16,1564,752,0.48804688578361155,20.192903281589732,0.024169228118304985,0.9558310956300884,12.348145780051151,5/7
ES ET,2020-2026,19,1624,692,-0.024887581203837637,16.736863630498487,-0.0014869919330935237,-0.059924114467836645,-2.940270935960591,4/7
ES ET,2020-2026,20,1625,691,0.10464422224579882,17.626403464207726,0.00593678809510346,0.23931957909877227,3.246153846153846,5/7
ES ET,2020-2026,21,1625,691,0.09181777054646724,19.667853197394205,0.004668418541919571,0.1881899678094584,4.838461538461538,2/7
ES ET,2020-2026,22,1625,691,-0.32736710071379693,16.407872277509707,-0.019951831363443723,-0.8042840350133508,-8.676923076923076,1/7
ES ET,2020-2026,23,1624,692,0.18822008138172208,11.820174399258361,0.015923629806471523,0.6417045002263913,7.088977832512315,5/7
ES ET,2021+,0,1364,586,0.02555701061617515,9.100117521774195,0.002808426435705245,0.10372184599718443,-2.153592375366569,2/6
ES ET,2021+,1,1361,594,0.3267403420588269,10.649908799298554,0.030680107052216948,1.1318423328578078,8.28434974283615,5/6
ES ET,2021+,2,1362,582,-0.11668704448442628,13.702114951739313,-0.008515987852635428,-0.3142849517280313,-1.3491189427312775,3/6
ES ET,2021+,3,1362,588,0.202079628914562,19.426396798805335,0.010402321696990628,0.3839006383019216,7.121879588839941,4/6
ES ET,2021+,4,1362,588,0.38584951333337314,16.551495760653868,0.02331206308559814,0.8603383128676811,9.783406754772393,5/6
ES ET,2021+,5,1362,588,0.06071904089662418,13.708509582684226,0.004429295579537024,0.16346441205563453,1.3491189427312775,2/6
ES ET,2021+,6,1363,587,0.33888720923931354,15.373731227251692,0.022043263553261378,0.8138114972099202,7.666911225238445,4/6
ES ET,2021+,7,1363,587,-0.34677050443525753,17.47899431913455,-0.01983927096169612,-0.7324426696564376,-6.318782098312546,2/6
ES ET,2021+,8,1363,587,-0.37265010448769964,30.199519825717726,-0.012339603630729026,-0.45556372727825006,-7.373440939104916,3/6
ES ET,2021+,9,1360,590,1.383927552416226,31.526097448935282,0.04389783907309989,1.6188723156541327,29.733455882352942,4/6
ES ET,2021+,10,1360,590,-0.8397722750160422,36.789368533738084,-0.022826493318196535,-0.8417994798048479,-22.904411764705884,2/6
ES ET,2021+,11,1360,590,1.0625548113572538,29.710471476123487,0.03576364690850379,1.318898130511504,22.766544117647058,5/6
ES ET,2021+,12,1360,590,-0.0999884368577624,25.301308211165342,-0.003951907783710488,-0.14573915801216258,-0.9099264705882353,4/6
ES ET,2021+,13,1315,635,0.8418336188964283,33.53872411153632,0.025100347171729848,0.9102121005600271,21.245247148288975,2/6
ES ET,2021+,14,1314,636,1.1697253923936999,28.578301732632365,0.04093054245620339,1.48369687866741,23.449391171993913,4/6
ES ET,2021+,15,1314,636,-0.4865221963923624,35.50555076378251,-0.013702708053430341,-0.4967113541170302,-12.167047184170471,2/6
ES ET,2021+,16,1314,636,0.590765711433784,16.46786748502181,0.0358738441374458,1.3003959238869711,13.318112633181126,5/6
ES ET,2021+,19,1365,585,-0.24651869797588083,12.823772761571208,-0.019223570361026624,-0.7102322313057828,-6.602564102564102,3/6
ES ET,2021+,20,1366,584,0.006321116520207295,14.599318378181007,0.00043297340029616304,0.01600245320840693,1.6013909224011713,4/6
ES ET,2021+,21,1366,584,0.16744718422500163,13.409705015825597,0.012487014742485921,0.46151303750446415,6.4513177159590045,2/6
ES ET,2021+,22,1366,584,-0.28955457692718267,10.966689159631871,-0.026403098757738695,-0.9758436710861493,-8.903733528550513,1/6
ES ET,2021+,23,1365,585,0.5140223273325901,8.906945016033557,0.05771028409935045,2.132158754872598,12.179487179487179,5/6
YM ET,2006-2012,0,1535,1018,0.5638833049742802,12.41700191368805,0.04541219441648598,1.7792078185645728,2.6351791530944624,6/7
YM ET,2006-2012,1,1629,931,0.7994946469811142,13.635415700805034,0.05863368338186507,2.3665065981442983,4.281767955801105,7/7
YM ET,2006-2012,2,1727,819,1.3010347133160876,17.222546434836577,0.0755425289888866,3.1393351932830464,7.119281991893457,6/7
YM ET,2006-2012,3,1741,812,-0.0853379952391223,23.997826864916444,-0.0035560717943124236,-0.14837813431087454,-0.3934520390580126,4/7
YM ET,2006-2012,4,1746,807,-0.06694984440690209,20.466042811991034,-0.003271264749220413,-0.13669033675382175,-0.06586483390607102,4/7
YM ET,2006-2012,5,1745,808,0.2913498806008683,18.68178140869026,0.0155954014356115,0.6514697787784087,1.8939828080229226,5/7
YM ET,2006-2012,6,1748,805,1.0832083496023492,19.286367834681005,0.056164455582689315,2.348184773805714,5.311784897025172,4/7
YM ET,2006-2012,7,1754,799,-0.9807221525145601,21.775226633758724,-0.04503843606358245,-1.886244975668768,-4.281641961231471,2/7
YM ET,2006-2012,8,1763,790,-0.4788894464726602,30.45491237246833,-0.015724538643085477,-0.660243399583288,-2.725467952353942,2/7
YM ET,2006-2012,9,1768,785,-0.9843268997683855,38.62291757129689,-0.025485565608847235,-1.0716066667318989,-6.286764705882353,3/7
YM ET,2006-2012,10,1771,782,0.6022389247173645,43.189941027954475,0.013943962653886663,0.5868072778579678,2.320722755505364,3/7
YM ET,2006-2012,11,1743,810,-0.18558273035124456,33.56725816275879,-0.005528683023540463,-0.230818377959922,-0.5249569707401033,4/7
YM ET,2006-2012,12,1746,807,-0.2613224628080007,31.265962747920344,-0.008358049451887822,-0.34924247401739844,-1.0967926689576175,4/7
YM ET,2006-2012,13,1733,820,-0.26029156095824657,33.78648698948162,-0.007704013768560204,-0.32071282820820296,-1.976341604154645,3/7
YM ET,2006-2012,14,1728,825,1.081320111405894,39.18198791183916,0.027597377494957682,1.1472014394461907,4.320023148148148,4/7
YM ET,2006-2012,15,1725,828,1.0555172985476946,63.005904139879384,0.016752672832126034,0.6957907595749871,4.266666666666667,6/7
YM ET,2006-2012,16,1462,1091,0.12514417928965982,19.636014249396986,0.006373196601927651,0.24368623732786798,0.786593707250342,3/7
YM ET,2006-2012,19,1256,1297,0.5538167401215829,15.221519805962329,0.03638380051278787,1.289445175388025,3.0772292993630574,3/6
YM ET,2006-2012,20,1620,933,0.13245563475542388,16.606949171069566,0.007975916189721988,0.32102443409507053,0.030864197530864196,4/7
YM ET,2006-2012,21,1612,941,-0.13609614339863738,13.871659954543926,-0.009811092821234888,-0.39391262770211044,-0.4032258064516129,4/7
YM ET,2006-2012,22,1593,960,-0.33767519263208645,14.364787158177878,-0.023507149038393366,-0.9382268313525192,-1.6572504708097928,3/7
YM ET,2006-2012,23,1585,968,0.08835322334215916,12.20080750463801,0.007241588174272284,0.28830253184446697,0.012618296529968454,3/7
YM ET,2013-2019,0,1776,780,0.40799113848291213,8.172754733229624,0.04992088369225861,2.103796582472278,3.5529279279279278,6/7
YM ET,2013-2019,1,1789,774,0.24745935678340453,8.290449368594095,0.02984872662280899,1.2624988136686308,2.5209614309670205,4/7
YM ET,2013-2019,2,1790,759,1.0039601915807181,10.92665898631582,0.09188171726033037,3.8873676749705646,8.432960893854748,6/7
YM ET,2013-2019,3,1790,766,0.19626183936910802,16.2116723934047,0.01210620561571131,0.512194088011259,1.3435754189944134,3/7
YM ET,2013-2019,4,1793,763,-0.2752521581047768,13.624977692237595,-0.020202026331506813,-0.8554311831718072,-2.788622420524261,3/7
YM ET,2013-2019,5,1792,764,0.17528536510477383,11.761639508419613,0.014903140415015708,0.63088005267212,2.915736607142857,4/7
YM ET,2013-2019,6,1789,767,0.10211781716305712,11.459671091388278,0.00891106004253444,0.37690729237450266,1.1291224147568475,4/7
YM ET,2013-2019,7,1793,763,0.5195726427264504,13.581298865011354,0.03825647663678124,1.6199257706316164,5.959286112660346,6/7
YM ET,2013-2019,8,1796,760,-0.25473744438269114,15.80456928964252,-0.016117961819410834,-0.6830669754926861,-2.3580178173719375,3/7
YM ET,2013-2019,9,1794,762,0.6738568074483042,26.075914408366167,0.025842116095921252,1.0945592930404637,6.0144927536231885,5/7
YM ET,2013-2019,10,1794,762,-0.4875390820458735,26.004113478107584,-0.018748536936524455,-0.7941062279348009,-6.842251950947603,2/7
YM ET,2013-2019,11,1786,770,0.5761966956189812,22.633195684371362,0.02545803534128659,1.0758844047111287,4.882418812989922,5/7
YM ET,2013-2019,12,1787,769,0.418108175168601,18.753023315557552,0.022295507670047926,0.942496273980885,3.2400671516508113,5/7
YM ET,2013-2019,13,1736,820,-0.04174014530978197,18.892628120819445,-0.002209335040252279,-0.09205268084999065,0.21601382488479262,3/7
YM ET,2013-2019,14,1736,820,0.3745443076158131,24.12848212521941,0.015522912119877379,0.6467673074475649,1.9441244239631337,3/7
YM ET,2013-2019,15,1736,820,-0.20522360870260836,27.295937187780634,-0.007518467209635845,-0.31325944228481495,-2.165898617511521,2/7
YM ET,2013-2019,16,1735,821,1.5401593751663654,12.338849074680098,0.12482196401338964,5.1992506079989536,15.737752161383286,7/7
YM ET,2013-2019,19,1784,772,0.5809477808284109,9.211766887968686,0.0630658361087248,2.663738469974311,5.650224215246637,7/7
