date,status,usd,gross,n_tr,held,open,year
2017-02-09,ok,235.0,250.0,1.0,329.0,20032.0,2017
2017-02-10,ok,-75.0,-60.0,1.0,30.0,20177.0,2017
2017-02-13,ok,235.0,250.0,1.0,359.0,20289.0,2017
2017-02-14,ok,200.0,215.0,1.0,179.0,20354.0,2017
2017-02-15,ok,150.0,180.0,2.0,329.0,20490.0,2017
2017-02-16,ok,0.0,0.0,0.0,0.0,20603.0,2017
2017-02-17,ok,0.0,0.0,0.0,0.0,20515.0,2017
2017-02-21,ok,-145.0,-115.0,2.0,119.0,20655.0,2017
2017-02-22,ok,0.0,0.0,0.0,0.0,20686.0,2017
2017-02-23,ok,0.0,0.0,0.0,0.0,20803.0,2017
2017-02-24,ok,0.0,0.0,0.0,0.0,20711.0,2017
2017-02-27,ok,0.0,0.0,0.0,0.0,20770.0,2017
2017-02-28,ok,0.0,0.0,0.0,0.0,20801.0,2017
2017-03-01,ok,345.0,360.0,1.0,359.0,20992.0,2017
2017-03-02,ok,115.0,145.0,2.0,59.0,21112.0,2017
2017-03-03,ok,0.0,0.0,0.0,0.0,21007.0,2017
2017-03-06,ok,0.0,0.0,0.0,0.0,20914.0,2017
2017-03-07,ok,0.0,0.0,0.0,0.0,20923.0,2017
2017-03-08,ok,0.0,0.0,0.0,0.0,20953.0,2017
2017-03-09,ok,-80.0,-65.0,1.0,30.0,20818.0,2017
2017-03-10,ok,0.0,0.0,0.0,0.0,20908.0,2017
2017-03-13,ok,-220.0,-175.0,3.0,120.0,20867.0,2017
2017-03-14,ok,-120.0,-105.0,1.0,30.0,20796.0,2017
2017-03-15,ok,-50.0,-20.0,2.0,119.0,20831.0,2017
2017-03-16,ok,-270.0,-240.0,2.0,90.0,20953.0,2017
2017-03-17,ok,0.0,0.0,0.0,0.0,20924.0,2017
2017-03-20,ok,0.0,0.0,0.0,0.0,20870.0,2017
2017-03-21,ok,850.0,865.0,1.0,329.0,20901.0,2017
2017-03-22,ok,-190.0,-175.0,1.0,60.0,20583.0,2017
2017-03-23,ok,-340.0,-310.0,2.0,180.0,20573.0,2017
2017-03-24,ok,-100.0,-85.0,1.0,59.0,20646.0,2017
2017-03-27,ok,0.0,0.0,0.0,0.0,20397.0,2017
2017-03-28,ok,500.0,515.0,1.0,299.0,20469.0,2017
2017-03-29,ok,0.0,0.0,0.0,0.0,20613.0,2017
2017-03-30,ok,-220.0,-190.0,2.0,120.0,20593.0,2017
2017-03-31,ok,0.0,0.0,0.0,0.0,20633.0,2017
2017-04-03,ok,-80.0,-65.0,1.0,210.0,20610.0,2017
2017-04-04,ok,0.0,0.0,0.0,0.0,20563.0,2017
2017-04-05,ok,-270.0,-240.0,2.0,180.0,20716.0,2017
2017-04-06,ok,-100.0,-85.0,1.0,30.0,20597.0,2017
2017-04-07,ok,-270.0,-255.0,1.0,30.0,20581.0,2017
2017-04-10,ok,60.0,75.0,1.0,90.0,20605.0,2017
2017-04-11,ok,-125.0,-110.0,1.0,120.0,20579.0,2017
2017-04-12,ok,-245.0,-215.0,2.0,150.0,20579.0,2017
2017-04-13,ok,0.0,0.0,0.0,0.0,20485.0,2017
2017-04-17,ok,325.0,340.0,1.0,209.0,20449.0,2017
2017-04-18,ok,-155.0,-140.0,1.0,90.0,20487.0,2017
2017-04-19,ok,305.0,320.0,1.0,209.0,20469.0,2017
2017-04-20,ok,440.0,455.0,1.0,299.0,20378.0,2017
2017-04-21,ok,0.0,0.0,0.0,0.0,20520.0,2017
2017-04-24,ok,0.0,0.0,0.0,0.0,20696.0,2017
2017-04-25,ok,155.0,170.0,1.0,359.0,20866.0,2017
2017-04-26,ok,-180.0,-165.0,1.0,30.0,20950.0,2017
2017-04-27,ok,0.0,0.0,0.0,0.0,20939.0,2017
2017-04-28,ok,0.0,0.0,0.0,0.0,20914.0,2017
2017-05-01,ok,0.0,0.0,0.0,0.0,20904.0,2017
2017-05-02,ok,0.0,0.0,0.0,0.0,20874.0,2017
2017-05-03,ok,0.0,0.0,0.0,0.0,20848.0,2017
2017-05-04,ok,-365.0,-335.0,2.0,60.0,20917.0,2017
2017-05-05,ok,0.0,0.0,0.0,0.0,20864.0,2017
2017-05-08,ok,-60.0,-45.0,1.0,30.0,20932.0,2017
2017-05-09,ok,0.0,0.0,0.0,0.0,20969.0,2017
2017-05-10,ok,0.0,0.0,0.0,0.0,20873.0,2017
2017-05-11,ok,-370.0,-355.0,1.0,150.0,20866.0,2017
2017-05-12,ok,0.0,0.0,0.0,0.0,20848.0,2017
2017-05-15,ok,65.0,80.0,1.0,359.0,20893.0,2017
2017-05-16,ok,0.0,0.0,0.0,0.0,20984.0,2017
2017-05-17,ok,720.0,735.0,1.0,359.0,20763.0,2017
2017-05-18,ok,-160.0,-130.0,2.0,209.0,20548.0,2017
2017-05-19,ok,290.0,305.0,1.0,359.0,20680.0,2017
2017-05-22,ok,-135.0,-120.0,1.0,60.0,20840.0,2017
2017-05-23,ok,0.0,0.0,0.0,0.0,20922.0,2017
2017-05-24,ok,0.0,0.0,0.0,0.0,20935.0,2017
2017-05-25,ok,0.0,0.0,0.0,0.0,21054.0,2017
2017-05-26,ok,0.0,0.0,0.0,0.0,21053.0,2017
2017-05-30,ok,0.0,0.0,0.0,0.0,21033.0,2017
2017-05-31,ok,-340.0,-280.0,4.0,210.0,21036.0,2017
2017-06-01,ok,280.0,295.0,1.0,179.0,21027.0,2017
2017-06-02,ok,-40.0,-10.0,2.0,269.0,21146.0,2017
2017-06-05,ok,0.0,0.0,0.0,0.0,21188.0,2017
2017-06-06,ok,0.0,0.0,0.0,0.0,21130.0,2017
2017-06-07,ok,0.0,0.0,0.0,0.0,21158.0,2017
2017-06-08,ok,0.0,0.0,0.0,0.0,21110.0,2017
2017-06-09,ok,-100.0,-85.0,1.0,240.0,21177.0,2017
2017-06-12,ok,-235.0,-205.0,2.0,299.0,21197.0,2017
2017-06-13,ok,135.0,150.0,1.0,269.0,21227.0,2017
2017-06-14,ok,0.0,0.0,0.0,0.0,21313.0,2017
2017-06-15,ok,0.0,0.0,0.0,0.0,21234.0,2017
2017-06-16,ok,-95.0,-80.0,1.0,60.0,21311.0,2017
2017-06-19,ok,-180.0,-120.0,4.0,179.0,21414.0,2017
2017-06-20,ok,0.0,0.0,0.0,0.0,21468.0,2017
2017-06-21,ok,-120.0,-90.0,2.0,239.0,21444.0,2017
2017-06-22,ok,0.0,0.0,0.0,0.0,21378.0,2017
2017-06-23,ok,0.0,0.0,0.0,0.0,21321.0,2017
2017-06-26,ok,-455.0,-440.0,1.0,60.0,21403.0,2017
2017-06-27,ok,75.0,105.0,2.0,59.0,21350.0,2017
2017-06-28,ok,85.0,100.0,1.0,299.0,21338.0,2017
2017-06-29,ok,650.0,665.0,1.0,329.0,21414.0,2017
2017-06-30,ok,-85.0,-70.0,1.0,30.0,21302.0,2017
